__lineyka_row_id,Unnamed: 0,2025 (YTD),2024 (YTD),2023 (YTD),% Change 2024-2025 (YTD),% Change 2023-2025 (YTD),2024 (Full Year),2023 (Full Year),% Change 2023-2024 (Full Year)
1,Violent Crime,450 186,501 281,519 944,-10.2%,-13.4%,593 272,615 661,-3.6%
2,Murder,5 912,7 369,8 520,-19.8%,-30.6%,8 665,9 975,-13.1%
3,Rape,37 532,41 093,42 319,-8.7%,-11.3%,48 438,49 402,-2.0%
4,Robbery,91 564,112 059,120 550,-18.3%,-24.0%,133 087,144 833,-8.1%
5,Aggravated Assault,315 178,340 760,348 555,-7.5%,-9.6%,403 082,411 451,-2.0%
6,Property Crime,2 005 051,2 286 635,2 464 454,-12.3%,-18.6%,2 727 140,2 947 713,-7.5%
7,Burglary,251 350,295 103,312 957,-14.8%,-19.7%,352 954,374 745,-5.8%
8,Theft,1 429 698,1 569 741,1 636 197,-8.9%,-12.6%,1 878 390,1 958 023,-4.1%
9,Motor Vehicle Theft,324 003,421 791,515 300,-23.2%,-37.1%,495 796,614 945,-19.4%
