fold,method,mae,rmse,smape
1,naive,3234.33225,4149.174065585273,1.2928553991599168
1,seasonal_naive,3243.3255833333333,4153.886763165564,1.3396216695004204
1,sarima,3227.3009871959316,4139.310288811013,1.2991184889509129
1,ets,3239.2966936752478,4151.169275177977,1.3223968766321343
1,random_forest,3243.2160499999995,4157.167705079626,1.313682461247461
2,naive,3602.4610166666666,3733.924142170762,0.681133998289889
2,seasonal_naive,2522.5276,3002.0114372262165,0.44604701496379384
2,sarima,1842091.447778101,6299402.32245726,2.0
2,ets,2243.5119556855675,2589.161559510837,0.37429472510211675
2,random_forest,5692.8006424999985,5790.505580839467,1.3620535621033927
3,naive,2068.8589749999996,2422.924801974066,0.3862077097153192
3,seasonal_naive,1696.8013916666662,2476.0066561239355,0.2984413624084002
3,sarima,2186.168276394716,2502.948639189068,0.39306491652610304
3,ets,2581.826278670917,3012.6067092270205,0.44191558041349044
3,random_forest,1942.0007723055526,2076.6755440796583,0.36238506276070853
